Program Type,Program,Name,Borough/Community,Agency,Contact Number,Grade Level / Age Group,Location 1,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./M.S. 75 P.S. 75,Bronx,Episcopal Social Services,(718) 328-5626,OST,"984 FAILE STREET10459
(40.822818392634, -73.889421138989)",10459,40.822719,-73.889435,2,17,119,2006079,2027470001,Hunts Point                                                                
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,The Children's Art Carnival,New York,"Brooklyn Housing & Family Services, Inc.",(212) 234-4093,High School,"62 Hamilton Terrace10031
(40.823323108747, -73.946094823072)",10031,40.823075,-73.946309,9,7,227,1060961,1020500064,Hamilton Heights                                                           
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Carol Gardens,Bronx,Mirabal Sisters Cultural and Community Center Office Space,(718) 542-0006,Seniors,"880 Thieriot Avenue10473
(40.823278882673, -73.86241277558)",10473,40.823093,-73.862394,9,18,42,2092758,2036420001,Soundview-Castle Hill-Clason Point-Harding Park                            
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,"Southeast Bronx Neighborhood Centers, Inc.",Bronx,"Southeast Bronx Neighborhood Center, Inc. (SEBNC)",718-542-2727,A parent 16 Years Old or Older,"955 Tinton Avenue10456
(40.823097254176, -73.903034140456)",10456,40.823096,-73.902991,3,16,133,2091964,2026390001,Morrisania-Melrose                                                         
After-School Programs,Out of School Time,SEBNC Center,Bronx,"Southeast Bronx Neighborhood Center, Inc. (SEBNC)",(718) 542-2727,High School,"955 Tinton Avenue10456
(40.823097254176, -73.903034140456)",10456,40.823096,-73.902991,3,16,133,2091964,2026390001,Morrisania-Melrose                                                         
After-School Programs,Out of School Time,P.S. 140 EAGLE SCHOOL,Bronx,Kips Bay Boys & Girls Club,(718) 585-1205,Elementary,"916 Eagle Avenue10456
(40.822594087546, -73.908217692813)",10456,40.823289,-73.907948,3,17,185,2004469,2026270009,Morrisania-Melrose                                                         
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 140 EAGLE SCHOOL,Bronx,Kips Bay Boys & Girls Club,(718) 585-1205,OST,"916 Eagle Avenue10456
(40.822594087546, -73.908217692813)",10456,40.823289,-73.907948,3,17,185,2004469,2026270009,Morrisania-Melrose                                                         
After-School Programs,Out of School Time,I.S. 131 ALBERT EINSTEIN SCHOOL,Bronx,YMCA of Greater New York/Bronx,(718) 991-7490,Elem/MS/HS,"885 Bolton Avenue10473
(40.823863020718, -73.859773991127)",10473,40.823526,-73.859662,9,18,42,2103869,2036440001,Soundview-Castle Hill-Clason Point-Harding Park                            
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Morrisania Air Rights Housing Development,Bronx,MIDDLE SCHOOL 322 (M322),(718) 542-0006,Seniors,"3135 Park Avenue10451
(40.824128769301, -73.917227588223)",10451,40.82415,-73.917164,4,16,173,2100990,2024209078,East Concourse-Concourse Village                                           
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,FREDERICK DOUGLASS ACADEMY (M499),New York,Citizens Advice,(347) 417-8122,High School,"2581 7 AVENUE10039
(40.824383647054, -73.936907140532)",10039,40.824319,-73.93712,10,9,236,1060198,1020160100,Central Harlem North-Polo Grounds                                          
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 146 EDWARD,Bronx,New York Junior Tennis League,(718) 842-2685,OST,"968 CAULDWELL AVENUE10456
(40.824846427373, -73.906202289442)",10456,40.825025,-73.906143,3,16,185,2004498,2026320027,Morrisania-Melrose                                                         
After-School Programs,Out of School Time,P.S. 146 EDWARD,Bronx,New York Junior Tennis League,(718) 842-2685,Elementary,"968 CAULDWELL AVENUE10456
(40.824846427373, -73.906202289442)",10456,40.825025,-73.906143,3,16,185,2004498,2026320027,Morrisania-Melrose                                                         
After-School Programs,Out of School Time,IS 337 (x337),Bronx,New York Junior Tennis League,(718) 860-4181,Middle School,"1025 Morrison Avenue10472
(40.824961907326, -73.873588288192)",10472,40.825403,-73.873666,9,18,48,2087014,2037180001,Soundview-Bruckner                                                         
"After-School Programs,Summer Program,Summer Camp",Out of School Time,East Bronx NAACP,Bronx,"Tremont Crotona Day Care Center, Inc",(718) 617-2900,OST,"1113 Colgate Avenue10472
(40.826046739969, -73.881479645755)",10472,40.82629,-73.881509,9,17,52,2023714,2037360001,Soundview-Bruckner                                                         
After-School Programs,Out of School Time,East Bronx NAACP,Bronx,"Tremont Crotona Day Care Center, Inc",(718) 617-2900,Elementary,"1113 Colgate Avenue10472
(40.826046739969, -73.881479645755)",10472,40.82629,-73.881509,9,17,52,2023714,2037360001,Soundview-Bruckner                                                         
After-School Programs,Beacon,IS 192,Bronx,Phipps Community Development,718.239.4080,6 and up,"650 Hollywood Avenue10465
(40.826552445151, -73.818390165412)",10465,40.826526,-73.818417,10,13,158,2077130,2054380001,Schuylerville-Throgs Neck-Edgewater Park                                   
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL (X527),Bronx,CPC Queens Branch Office,(718) 665-2486,High School,"1100 BOSTON ROAD10456
(40.827438058055, -73.904676763458)",10456,40.827514,-73.904622,3,16,135,2004526,2026340001,Morrisania-Melrose                                                         
After-School Programs,Out of School Time,M353 NEW HEIGHTS ACADEMY,Manhattan,Inwood House,(212) 234-2754,Middle School,"1818 AMSTERDAM AVENUE10031
(40.828427404519, -73.945321385016)",10031,40.828498,-73.945239,9,7,237,1062155,1020820028,Hamilton Heights                                                           
"NDA Programs,Senior Programs,Older Adult Program",Seniors,St. Luke A.M.E Church,New York,FREDERICK DOUGLASS ACADEMY (M499),(800) 624-8474,Seniors,"1854 Amsterdam Avenue10031
(40.829510444309, -73.944485036639)",10031,40.829461,-73.94453,9,7,237,1075506,1020830035,Hamilton Heights                                                           
"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA POLO GROUNDS TOWERS,Manhattan,Alianza Dominicana @Polo Grounds Community Center,(212) 491-6127,6 and up,"2975 Eighth Avenue10039
(40.831340130132, -73.935802075638)",10039,40.830651,-73.936189,10,9,24302,1084520,1021060003,Central Harlem North-Polo Grounds                                          
After-School Programs,Out of School Time,C.E.S. 2 MORRISANIA SCHOOL,Bronx,Women's Housing and Economic Development Corporation (WHEDCO,(718) 839-1122,Elementary,"1260 Franklin Avenue10456
(40.831070124062, -73.902594873139)",10456,40.830995,-73.902705,3,16,149,2004302,2026150014,Morrisania-Melrose                                                         
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Highbridge Community Life Center,Bronx,Highbridge Community Life Center,(718) 681-2222,16+,"950 Anderson Avenue10452
(40.831063771587, -73.928018257847)",10452,40.831036,-73.928079,4,8,189,2092381,2025040045,Highbridge                                                                 
"Family Support,NDA Programs",Health Stat Initiative,The Children's Aid Society,Bronx,The Children's Aid Society,718.617.8595,All Ages,"1338 Southern Blvd10460
(40.843090348041, -73.87860282506)",10459,40.831158,-73.891438,3,17,123,2010556,2029800025,Crotona Park East                                                          
After-School Programs,Out of School Time,C.S. 134 GEORGE F. BRISTOW SCHOOL,Bronx,"Sports and Arts In Schools Foundation, Inc.",(718) 825-5626,Elementary,"1330 Bristow Street10459
(40.831333018957, -73.894754089007)",10459,40.83132,-73.894794,3,17,153,2010273,2029650082,Crotona Park East                                                          
"After-School Programs,Summer Program,Summer Camp",Out of School Time,C.S. 134 GEORGE F. BRISTOW SCH,Bronx,"Sports and Arts In Schools Foundation, Inc.",(718) 825-5626,OST,"1330 Bristow Street10459
(40.831333018957, -73.894754089007)",10459,40.83132,-73.894794,3,17,153,2010273,2029650082,Crotona Park East                                                          
After-School Programs,Out of School Time,So. Bronx Overall (opt. 2),Bronx,South Bronx Overall Economic Devlpmt Corp.Opt 2HS ,(718) 732-7643,High School,"1300 Boynton Ave10460
(40.843090348041, -73.87860282506)",10472,40.831601,-73.878912,9,18,56,2027459,2038640001,West Farms-Bronx River                                                     
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Pan American International High School (PAIHS),Bronx,Citizens Advice Bureau,(718) 732-7523,High School,"1300 Boynton Avenue10472
(40.831280981919, -73.878810472074)",10472,40.831601,-73.878912,9,18,56,2027459,2038640001,West Farms-Bronx River                                                     
After-School Programs,Out of School Time,C.E.S. 73 P.S. 73,Bronx,Woodycrest Center For Human Development,(718) 293-3198,Elementary,"1020 ANDERSON AVENUE10452
(40.832779162508, -73.926733511735)",10452,40.832706,-73.926838,4,8,189,2003051,2025040082,Highbridge                                                                 
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 73 - The Bronx School,Bronx,Highbridge Community Life Center (HCLC),718-681-2222,A parent 16 Years Old or Older,"1020 Anderson Avenue10452
(40.832779162508, -73.926733511735)",10452,40.832706,-73.926838,4,8,189,2003051,2025040082,Highbridge                                                                 
"After-School Programs,Summer Program,Summer Camp",Out of School Time,C.E.S. 73 P.S. 73,Bronx,Woodycrest Center For Human Development,(718) 293-3198,OST,"1020 ANDERSON AVENUE10452
(40.832779162508, -73.926733511735)",10452,40.832706,-73.926838,4,8,189,2003051,2025040082,Highbridge                                                                 
"Family Support,NDA Programs",Healthy Families,YMPJ,Bronx,Jay Harama Senior Center,(347) 851-5619,,"1384 Stratford Avenue10472
(40.833517940517, -73.876466311155)",10472,40.833322,-73.876452,9,18,62,2027513,2038670036,West Farms-Bronx River                                                     
After-School Programs,Beacon,Dr. Charles R. Drew Educational Complex,Bronx,Directions for Our Youth,718.293.4344,6 and up,"3630 3rd Avenue10456
(40.833636708483, -73.904406064983)",10456,40.833511,-73.90449,3,16,14701,2009611,2029250001,Claremont-Bathgate                                                         
After-School Programs,Teen Action Program,IS 219 NEW VENTURE SCHOOL (X219),Bronx,"Directions For Our Youth, Inc.",212.362.4020,13 to 21,"3630 Third Avenue10456
(40.833636708483, -73.904406064983)",10456,40.833511,-73.90449,3,16,14701,2009611,2029250001,Claremont-Bathgate                                                         
"Family Support,NDA Programs",Healthy Families,Bronx Family Center,Bronx,Riverdale Senior Services,(212) 503-6837,,"1515 Southern Blvd10460
(40.83394144693, -73.889906077907)",10460,40.833734,-73.889934,3,17,155,2113511,2029770110,Crotona Park East                                                          
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Highbridge Community Life Center,Bronx,Highbridge Community Life Center,(718) 681-2222,16+,"1038 Ogden Avenue10452
(40.833887030557, -73.928809339182)",10452,40.833827,-73.928861,4,8,189,2003209,2025120015,Highbridge                                                                 
After-School Programs,Out of School Time,C.S. 50 CLARA BARTON SCHOOL,Bronx,"Sports and Arts In Schools Foundation, Inc.",(718) 589-7284,Elementary,"1550 Vyse Avenue10460
(40.833803868163, -73.887692237056)",10460,40.834157,-73.887512,3,17,157,2010786,2029960010,Crotona Park East                                                          
"After-School Programs,Summer Program,Summer Camp",Out of School Time,C.S. 50 CLARA BARTON SCHOOL,Bronx,"Casita Maria, Inc.",(718) 589-2230,Elementary,"1550 Vyse Ave10460
(40.833803868163, -73.887692237056)",10460,40.834157,-73.887512,3,17,157,2010786,2029960010,Crotona Park East                                                          
After-School Programs,Out of School Time,P.S./I.S. 194 P.S./I.S. 194,Bronx,YMCA of Greater New York/Bronx,(347) 934-8146,Elementary,"1301 Zerega Avenue10462
(40.83495055064, -73.845474377956)",10462,40.835041,-73.845464,10,18,96,2103494,2038340070,Westchester-Unionport                                                      
After-School Programs,Out of School Time,P.S. 14 JOHN D. CALANDRA SCHOOL,Bronx,YMCA of Greater New York/Bronx,(718) 822-5341,Elementary,"3041 Bruckner Boulevard10461
(40.835554365176, -73.825433043726)",10461,40.835779,-73.825735,10,13,184,2072754,2053130092,Schuylerville-Throgs Neck-Edgewater Park                                   
